Name,Steam price,profit
StatTrak™ M4A4 | Howl (Factory New),7806.472899999999,611.8970822231627,
Sticker | LGB eSports | Katowice 2014,325.89239999999995,54.66369614324572,
★ Specialist Gloves | Fade (Factory New),3079.4755,186.89607964637648,
Sticker | HellRaisers (Holo) | Katowice 2014,3372.6229,216.82292176386974,
★ Sport Gloves | Superconductor (Factory New),3307.9588999999996,201.66328881051302,
★ Sport Gloves | Amphibious (Factory New),3227.0521999999996,194.2851496175485,
★ Moto Gloves | Polygon (Factory New),1192.0714,92.8778489401916,
★ Sport Gloves | Pandora's Box (Minimal Wear),3427.9,212.33591749338626,
★ Specialist Gloves | Emerald Web (Factory New),1853.2549,69.00420623067548,
★ Specialist Gloves | Crimson Web (Factory New),2088.1693,94.54208543237904,
★ StatTrak™ M9 Bayonet | Safari Mesh (Battle-Scarred),111.8109,54.03496445693502,
Sticker | Lekr0 (Gold) | Katowice 2019,44.9403,53.4719466492182,
★ Sport Gloves | Vice (Minimal Wear),2426.7526,121.27887206335419,
M4A4 | Modern Hunter (Factory New),147.2463,59.22639870253986,
Sticker | FaZe Clan (Foil) | Atlanta 2017,94.6832,70.31515152823363,
★ Karambit | Crimson Web (Factory New),2454.9781999999996,132.41122281065114,
AUG | Akihabara Accept (Factory New),1793.6413,70.14517120321341,
★ StatTrak™ Flip Knife | Case Hardened (Field-Tested),105.49789999999999,52.928974311769636,
★ Falchion Knife | Crimson Web (Factory New),488.00669999999997,73.24321543797376,
★ StatTrak™ Skeleton Knife | Case Hardened (Minimal Wear),653.7613,68.24715461984673,
★ Moto Gloves | Turtle (Factory New),1165.5921999999998,91.51432090121692,
★ StatTrak™ Karambit | Lore (Factory New),1198.4906,55.049521924950575,
★ Butterfly Knife | Ultraviolet (Factory New),1151.5502,61.34744449399471,
StatTrak™ AK-47 | Jaguar (Factory New),154.53279999999998,55.43547598322497,
★ StatTrak™ Classic Knife | Crimson Web (Battle-Scarred),244.1007,107.18325454846995,
★ StatTrak™ Paracord Knife,332.48269999999997,79.0641325305098,
Sticker | DD (Gold) | London 2018,142.3965,83.05211945884146,
Sticker | f0rest (Gold) | London 2018,104.43,124.89365844246012,
★ Hand Wraps | Overprint (Factory New),1051.4921,124.66866838018676,
Sticker | nexa (Gold) | Berlin 2019,34.0135,101.57247091396984,
★ StatTrak™ Skeleton Knife | Crimson Web (Field-Tested),1229.4950999999999,77.25628324487636,
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014,848.9333,57.83652815351855,
★ Stiletto Knife | Doppler (Minimal Wear),207.208,73.07304553198945,
Sticker | Titan | Katowice 2014,1398.4416,73.12761505110666,
Sticker | somebody (Gold) | Katowice 2019,102.24109999999999,84.27636976573503,
★ Talon Knife | Stained (Factory New),176.5162,50.85732941225737,
Sticker | jks (Gold) | Katowice 2019,42.1909,169.88841353264178,
★ StatTrak™ Skeleton Knife | Slaughter (Factory New),985.3943999999999,66.29148771751332,
Sticker | f0rest (Gold) | Katowice 2019,100.90180000000001,68.75914235089836,
★ StatTrak™ Flip Knife | Black Laminate (Well-Worn),84.8951,56.81843035086499,
Operation Vanguard Access Pass,297.8379,76.39618350449521,
★ Nomad Knife | Case Hardened (Factory New),306.0448,60.550281603840894,
★ Ursus Knife | Ultraviolet (Factory New),506.8336,74.85926452886521,
★ StatTrak™ Classic Knife | Case Hardened (Field-Tested),151.5887,55.73706828798709,
★ StatTrak™ Survival Knife | Forest DDPAT (Field-Tested),88.52359999999999,50.29096043087539,
★ StatTrak™ Stiletto Knife | Urban Masked (Minimal Wear),75.9035,62.503639571130044,
Sticker | Cloud9 (Foil) | DreamHack 2014,33.7185,64.66378671281885,
★ StatTrak™ Bowie Knife | Damascus Steel (Factory New),132.24259999999998,51.69962413096199,
★ Huntsman Knife | Case Hardened (Factory New),179.27149999999997,56.33960651620327,
★ StatTrak™ Classic Knife | Crimson Web (Well-Worn),515.9608999999999,66.7200792975615,
★ Flip Knife | Case Hardened (Factory New),191.56119999999999,78.53946017968657,
★ Karambit | Forest DDPAT (Factory New),224.74869999999999,68.45215743678415,
Sticker | NiKo (Foil) | Atlanta 2017,64.98259999999999,76.03457486290003,
★ Karambit | Ultraviolet (Factory New),598.0358,94.79332330153484,
★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested),262.7329,72.00737123289159,
★ StatTrak™ Paracord Knife | Boreal Forest (Minimal Wear),162.2205,56.415272300774575,
Sticker | Natus Vincere | Katowice 2014,366.32509999999996,73.24267446039762,
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested),72.0272,51.15778817108122,
★ Butterfly Knife | Forest DDPAT (Factory New),264.9749,51.078023853659595,
★ M9 Bayonet | Ultraviolet (Factory New),509.8367,88.71002331944501,
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn),51.630900000000004,54.06938402564377,
★ StatTrak™ Bayonet | Bright Water (Well-Worn),120.53699999999999,73.4861039267212,
★ StatTrak™ Classic Knife | Blue Steel (Minimal Wear),118.47789999999999,50.16210392902406,
★ StatTrak™ Ursus Knife | Night Stripe (Battle-Scarred),82.895,68.64104551548476,
★ StatTrak™ Ursus Knife | Crimson Web (Minimal Wear),372.91540000000003,54.829578244872245,
Sticker | LEGIJA (Gold) | Krakow 2017,110.33,105.0169599364936,
★ StatTrak™ Stiletto Knife | Night Stripe (Battle-Scarred),65.7614,56.27709125475284,
★ Flip Knife | Night (Factory New),224.7251,56.58201591286455,
Sticker | Virtus.Pro (Foil) | DreamHack 2014,33.252399999999994,121.04017655348449,
StatTrak™ Galil AR | Chatterbox (Field-Tested),114.6842,60.90833836095017,
★ Ursus Knife | Night Stripe (Factory New),209.8276,70.81821910343137,
Sticker | G2 Esports (Foil) | Atlanta 2017,86.2167,102.25823796350856,
★ StatTrak™ Talon Knife | Case Hardened (Field-Tested),310.9064,73.96380083104755,
MP9 | Bulldozer (Factory New),226.59539999999998,76.11288738821149,
Sticker | arT (Gold) | Katowice 2019,95.2142,93.49608696270676,
Sticker | Flipsid3 Tactics (Foil) | Katowice 2015,85.21959999999999,92.55342128500295,
★ StatTrak™ Bayonet | Freehand (Minimal Wear),161.41809999999998,67.64737345548542,
★ StatTrak™ Classic Knife | Safari Mesh (Minimal Wear),85.23729999999999,109.31038344008728,
Sticker | King on the Field,203.78009999999998,79.35862906632866,
Sticker | nitr0 (Gold) | Katowice 2019,34.81,80.8655567759896,
Sticker | B1ad3 (Gold) | Krakow 2017,101.2735,105.80991031818448,
Sticker | arT (Gold) | Berlin 2019,77.6794,91.07189504542418,
★ StatTrak™ Gut Knife | Case Hardened (Battle-Scarred),72.2868,60.88430862310409,
Sticker | Summer (Gold) | Berlin 2019,45.831199999999995,92.59849455208047,
Sticker | KSCERATO (Gold) | Katowice 2019,58.952799999999996,72.55976372582592,
★ StatTrak™ M9 Bayonet | Bright Water (Factory New),244.8264,51.745649156520265,
Sticker | Team Dignitas (Foil) | DreamHack 2014,77.5024,114.6917758698349,
★ StatTrak™ Classic Knife | Urban Masked (Well-Worn),79.6028,59.60358750580447,
Sticker | Summer (Gold) | Katowice 2019,50.94649999999999,143.78672005619677,
★ Falchion Knife | Stained (Factory New),78.6942,55.51844620285682,
Sticker | Brehze (Gold) | Katowice 2019,45.725,73.7897996694858,
★ StatTrak™ Bayonet | Ultraviolet (Battle-Scarred),119.56349999999999,53.39926725639916,
Sticker | RUSH (Gold) | Katowice 2019,67.9857,76.81310564724606,
StatTrak™ M4A4 | Royal Paladin (Factory New),307.45489999999995,55.352828973131366,
★ StatTrak™ Huntsman Knife | Case Hardened (Well-Worn),111.51,61.45940420307018,
Sticker | MSL (Gold) | Boston 2018,85.7093,98.73818424485599,
MP7 | Whiteout (Factory New),210.571,97.88684876768869,
Sticker | zhokiNg (Gold) | Katowice 2019,44.8636,140.59806829090397,
★ Talon Knife | Forest DDPAT (Factory New),198.7061,51.604563348009606,
Sticker | allu (Gold) | Katowice 2019,48.6278,61.368980578432584,
Sticker | CeRq (Gold) | Berlin 2019,41.6009,58.20996898999572,
★ StatTrak™ Stiletto Knife | Case Hardened (Minimal Wear),154.4089,69.83109159681517,
Sticker | KSCERATO (Gold) | Berlin 2019,38.2733,128.45503220299526,
Sticker | GuardiaN (Gold) | Katowice 2019,61.63139999999999,92.46051573125213,
★ Ursus Knife | Blue Steel (Factory New),150.804,51.68489485840069,
★ StatTrak™ Gut Knife | Crimson Web (Minimal Wear),123.5283,73.04891077008593,
★ StatTrak™ Falchion Knife | Blue Steel (Minimal Wear),85.0249,53.159272861423865,
Sticker | shroud (Foil) | Cluj-Napoca 2015,42.456399999999995,96.38829526426315,
Sticker | Cloud9 (Foil) | Krakow 2017,33.3232,72.85700205935295,
Sticker | device (Foil) | Cologne 2016,75.5554,98.09880687756191,
Sticker | Counter Logic Gaming (Foil) | Katowice 2015,87.4852,116.50829602161194,
Sticker | coldzera (Gold) | Katowice 2019,73.2662,66.11729709262647,
Sticker | Titan (Holo) | Katowice 2015,334.48869999999994,51.14805002035253,
Sticker | woxic (Gold) | Katowice 2019,45.789899999999996,74.42003972168915,
★ StatTrak™ M9 Bayonet | Urban Masked (Battle-Scarred),116.3775,82.97221303341051,
★ StatTrak™ M9 Bayonet | Boreal Forest (Battle-Scarred),116.3716,56.30831091561536,
Sticker | kennyS (Gold) | London 2018,502.7803,132.37050775499944,
★ StatTrak™ Skeleton Knife | Urban Masked (Battle-Scarred),185.142,50.0985025983607,
★ StatTrak™ Classic Knife | Case Hardened (Battle-Scarred),129.75869999999998,74.72168264483015,
Sticker | seang@res (Foil) | Boston 2018,41.530100000000004,57.81443681319727,
★ Bayonet | Night (Factory New),321.96299999999997,76.4171541892163,
★ StatTrak™ M9 Bayonet | Forest DDPAT (Battle-Scarred),107.85199999999999,57.67596516076363,
★ StatTrak™ Talon Knife | Urban Masked (Minimal Wear),141.1398,62.641905667100126,
★ StatTrak™ Shadow Daggers | Crimson Web (Minimal Wear),124.96199999999999,60.04469294349445,
Sticker | xccurate (Gold) | Katowice 2019,39.825,149.21964370195522,
Sticker | HellRaisers | Katowice 2014,207.46169999999998,60.985256459998425,
Sticker | woxic (Gold) | London 2018,65.90299999999999,61.37412999061669,
Souvenir Galil AR | Cerberus (Factory New),126.1833,54.47019016303535,
★ StatTrak™ Paracord Knife | Stained (Minimal Wear),169.035,57.29775603982065,
★ StatTrak™ Bayonet | Blue Steel (Field-Tested),136.4198,54.15669991628834,
★ Stiletto Knife | Forest DDPAT (Factory New),93.18459999999999,76.2230520446954,
★ StatTrak™ Nomad Knife | Urban Masked (Battle-Scarred),77.99799999999999,74.43262098889724,
Sticker | Virtus.pro (Foil) | Katowice 2015,86.16359999999999,111.31208136646691,
Sticker | FalleN (Gold) | Katowice 2019,48.5393,59.10351383243737,
★ StatTrak™ Classic Knife | Forest DDPAT (Minimal Wear),88.2876,51.77425471468792,
Sticker | LGB eSports (Foil) | Katowice 2015,220.28239999999997,67.89120938887896,
★ StatTrak™ Stiletto Knife | Case Hardened (Field-Tested),122.73769999999999,51.52054219544711,
★ StatTrak™ Nomad Knife | Safari Mesh (Field-Tested),74.4875,59.04224700139038,
★ StatTrak™ Shadow Daggers | Case Hardened (Minimal Wear),108.79599999999999,59.780997992383675,
★ StatTrak™ Flip Knife | Case Hardened (Battle-Scarred),134.31349999999998,102.56136705980427,
Sticker | Team EnVyUs (Foil) | Katowice 2015,34.5091,62.67456978030109,
Sticker | BnTeT (Gold) | Katowice 2019,44.6453,70.26478675570435,
Sticker | Xyp9x (Gold) | Katowice 2019,75.7737,105.8243518764495,
Sticker | sergej (Gold) | Katowice 2019,38.8574,184.019161977771,
Sticker | CeRq (Gold) | Katowice 2019,88.81859999999999,140.6050926081439,
★ StatTrak™ Shadow Daggers | Case Hardened (Field-Tested),89.62100000000001,67.27089071035395,
★ Shadow Daggers | Case Hardened (Factory New),112.9791,64.27469483602208,
Sticker | electronic (Gold) | Katowice 2019,110.27689999999998,94.68093707928719,
Sticker | kennyS (Gold) | Katowice 2019,538.6287,58.91876208349627,
StatTrak™ USP-S | Overgrowth (Factory New),195.9095,53.76580006297891,
★ StatTrak™ M9 Bayonet | Case Hardened (Field-Tested),187.3368,50.10478027871218,
Sticker | NiKo (Foil) | Cluj-Napoca 2015,89.49119999999999,88.93432672596336,
Sticker | yuurih (Gold) | Katowice 2019,40.6687,116.5740060282668,
Sticker | NBK- (Gold) | Boston 2018,70.5286,101.02667297529939,
★ StatTrak™ Paracord Knife | Scorched (Field-Tested),92.9958,50.31295601030061,
★ StatTrak™ Classic Knife | Safari Mesh (Battle-Scarred),79.7503,61.534775116081775,
Sticker | coldzera (Gold) | London 2018,75.9625,118.87753749551943,
Sticker | Boombl4 (Gold) | Katowice 2019,44.722,96.49367619184865,
Sticker | mousesports | Katowice 2014,220.5361,93.48846374602185,
Sticker | Attacker (Gold) | Berlin 2019,33.7775,119.54112638523287,
Sticker | 100 Thieves (Holo) | Boston 2018,64.4044,62.36815421702296,
★ StatTrak™ Classic Knife | Scorched (Minimal Wear),90.8423,50.29500687097489,
StatTrak™ CZ75-Auto | Crimson Web (Factory New),74.71759999999999,68.92456796470553,
Sticker | s1mple (Gold) | London 2018,388.77459999999996,80.50533839487024,
★ StatTrak™ Stiletto Knife | Damascus Steel (Factory New),137.6352,65.63101552538055,
Sticker | Team Liquid (Foil) | Atlanta 2017,104.3651,52.86035257518144,
★ StatTrak™ Classic Knife | Night Stripe (Minimal Wear),109.53349999999999,51.77740025939762,
★ StatTrak™ Talon Knife | Scorched (Battle-Scarred),98.05799999999999,50.26765535381198,
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested),165.43599999999998,67.1540764594811,
Sticker | pashaBiceps (Foil) | Atlanta 2017,31.004499999999997,118.31080129559213,
Souvenir SG 553 | Integrale (Well-Worn),69.7439,53.16271893204074,
Sticker | NiKo (Foil) | MLG Columbus 2016,44.013999999999996,61.85068874980691,
Sticker | ALEX (Gold) | Katowice 2019,36.5682,70.39532543055245,
★ StatTrak™ Stiletto Knife | Case Hardened (Battle-Scarred),98.9607,53.67002607837673,
Sticker | chrisJ (Gold) | Berlin 2019,38.851499999999994,169.17699453491332,
Sticker | Natus Vincere (Foil) | DreamHack 2014,41.0817,105.36968512951049,
★ StatTrak™ Bayonet | Scorched (Minimal Wear),100.241,59.47468062427414,
Sticker | Magisk (Gold) | Katowice 2019,47.80179999999999,83.1109143019561,
Sticker | kennyS (Foil) | Atlanta 2017,112.50119999999998,84.37983479743014,
Sticker | gla1ve (Gold) | Katowice 2019,56.3627,52.42307546690175,
Souvenir CZ75-Auto | Chalice (Minimal Wear),46.138000000000005,72.93933142219717,
Souvenir Glock-18 | Reactor (Factory New),64.1094,62.48631994821474,
★ StatTrak™ Classic Knife | Urban Masked (Battle-Scarred),76.6587,51.52731688919775,
★ StatTrak™ Survival Knife | Boreal Forest (Field-Tested),88.19319999999999,50.11879363270211,
★ StatTrak™ Butterfly Knife | Ultraviolet (Well-Worn),216.57719999999998,67.32788484404496,
