Steam Name, BuyOrderPrice
AUG | Death by Puppy (Minimal Wear),3.8318000000000003,
MP9 | Hydra (Field-Tested),2.48584,
SCAR-20 | Palm (Minimal Wear),4.67544,
'Two Times' McCoy | USAF TACP,0.59248,
AK-47 | Blue Laminate (Field-Tested),4.68832,
StatTrak™ Desert Eagle | Conspiracy (Field-Tested),8.47504,
StatTrak™ R8 Revolver | Llama Cannon (Minimal Wear),7.09044,
AK-47 | Blue Laminate (Factory New),5.924799999999999,
AK-47 | Jaguar (Field-Tested),14.9086,
StatTrak™ AUG | Arctic Wolf (Field-Tested),3.11052,
M4A1-S | Leaded Glass (Factory New),5.90548,
StatTrak™ USP-S | Blood Tiger (Factory New),4.77848,
★ Butterfly Knife | Doppler (Factory New),644.25116,
StatTrak™ SSG 08 | Abyss (Factory New),5.27436,
StatTrak™ XM1014 | Incinegator (Field-Tested),3.00104,
StatTrak™ AWP | PAW (Factory New),10.033520000000001,
USP-S | Overgrowth (Field-Tested),6.961640000000001,
FAMAS | Roll Cage (Minimal Wear),4.83644,
StatTrak™ P250 | X-Ray (Factory New),2.4472,
M4A1-S | Atomic Alloy (Factory New),14.1036,
StatTrak™ M4A1-S | Nightmare (Field-Tested),9.4024,
CZ75-Auto | The Fuschia Is Now (Factory New),21.387240000000002,
StatTrak™ M4A1-S | Basilisk (Field-Tested),3.9284,
M4A4 | 龍王 (Dragon King) (Minimal Wear),11.25712,
StatTrak™ UMP-45 | Primal Saber (Minimal Wear),7.779520000000001,
StatTrak™ UMP-45 | Moonrise (Factory New),2.42144,
P90 | Death by Kitty (Field-Tested),19.55828,
StatTrak™ SG 553 | Ultraviolet (Minimal Wear),5.46112,
AWP | Electric Hive (Factory New),23.80224,
AK-47 | Orbit Mk01 (Field-Tested),7.36736,
StatTrak™ AK-47 | Orbit Mk01 (Field-Tested),17.1626,
Glock-18 | Nuclear Garden (Field-Tested),3.06544,
StatTrak™ AUG | Torque (Factory New),5.16488,
M4A4 | X-Ray (Factory New),11.06392,
AUG | Death by Puppy (Factory New),5.0167600000000006,
P2000 | Amber Fade (Factory New),8.00492,
AWP | Atheris (Factory New),7.19348,
AWP | Electric Hive (Field-Tested),13.16336,
StatTrak™ CZ75-Auto | The Fuschia Is Now (Factory New),21.37436,
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),9.34444,
P250 | Asiimov (Field-Tested),3.4518400000000002,
AK-47 | Black Laminate (Field-Tested),13.11184,
P250 | Mehndi (Factory New),9.16412,
Nova | Antique (Factory New),4.6368,
Dual Berettas | Cobra Strike (Field-Tested),9.2414,
Nova | Hyper Beast (Field-Tested),3.8318000000000003,
SG 553 | Cyrex (Field-Tested),2.84004,
M4A4 | Bullet Rain (Minimal Wear),9.750160000000001,
StatTrak™ AWP | Atheris (Minimal Wear),9.930480000000001,
StatTrak™ AUG | Stymphalian (Minimal Wear),5.12624,
M4A4 | Hellfire (Factory New),27.015800000000002,
AWP | Acheron (Factory New),2.9946,
MAC-10 | Fade (Minimal Wear),10.471440000000001,
Desert Eagle | Directive (Factory New),5.33876,
USP-S | Cortex (Factory New),10.82564,
AK-47 | Wasteland Rebel (Battle-Scarred),16.5186,
StatTrak™ P250 | See Ya Later (Minimal Wear),16.91788,
M4A1-S | Mecha Industries (Minimal Wear),11.701480000000002,
Tec-9 | Decimator (Factory New),12.2038,
AK-47 | Cartel (Field-Tested),5.0167600000000006,
StatTrak™ Glock-18 | Wasteland Rebel (Field-Tested),12.532240000000002,
P250 | Vino Primo (Minimal Wear),6.4013599999999995,
Sawed-Off | Copper (Factory New),33.38496,
MAC-10 | Neon Rider (Minimal Wear),5.25504,
StatTrak™ AK-47 | Orbit Mk01 (Minimal Wear),22.10208,
StatTrak™ M4A1-S | Basilisk (Battle-Scarred),4.6174800000000005,
StatTrak™ USP-S | Blueprint (Field-Tested),7.45108,
StatTrak™ USP-S | Guardian (Factory New),5.5384,
StatTrak™ AWP | Worm God (Minimal Wear),3.1491599999999997,
AUG | Momentum (Minimal Wear),4.3792,
Desert Eagle | Midnight Storm (Factory New),7.869680000000001,
StatTrak™ P90 | Trigon (Battle-Scarred),6.68472,
P90 | Astral Jörmungandr (Factory New),62.236160000000005,
StatTrak™ AWP | Phobos (Factory New),4.4436,
R8 Revolver | Crimson Web (Factory New),2.64684,
StatTrak™ P250 | Supernova (Factory New),2.3506,
AWP | BOOM (Minimal Wear),28.82544,
StatTrak™ AWP | Elite Build (Battle-Scarred),8.59096,
M4A1-S | Cyrex (Minimal Wear),6.22104,
StatTrak™ USP-S | Flashback (Minimal Wear),2.37636,
StatTrak™ UMP-45 | Momentum (Field-Tested),5.16488,
AWP | Electric Hive (Minimal Wear),16.08068,
Desert Eagle | Conspiracy (Minimal Wear),3.16848,
Nova | Hyper Beast (Minimal Wear),5.95056,
M4A4 | Royal Paladin (Field-Tested),7.99848,
StatTrak™ AWP | Elite Build (Minimal Wear),18.68888,
StatTrak™ Glock-18 | Sacrifice (Minimal Wear),1.3524,
StatTrak™ AWP | Worm God (Field-Tested),2.9108799999999997,
Galil AR | Cerberus (Field-Tested),6.8586,
MAC-10 | Stalker (Battle-Scarred),5.48044,
MP9 | Hydra (Factory New),7.5348,
CZ75-Auto | Emerald (Factory New),4.33412,
FAMAS | Mecha Industries (Factory New),3.87688,
FAMAS | Eye of Athena (Factory New),6.639640000000001,
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear),10.645320000000002,
M4A1-S | Golden Coil (Battle-Scarred),9.66,
Galil AR | Eco (Field-Tested),2.53092,
AUG | Chameleon (Minimal Wear),2.9946,
Berlin 2019 Viewer Pass,6.3498399999999995,
Souvenir Desert Eagle | Hand Cannon (Field-Tested),93.58608,
AK-47 | Red Laminate (Field-Tested),12.57088,
CZ75-Auto | Xiangliu (Factory New),5.62856,
StatTrak™ M4A1-S | Cyrex (Field-Tested),14.348320000000001,
AWP | Fever Dream (Field-Tested),3.7545200000000003,
M4A4 | Hellfire (Field-Tested),10.645320000000002,
AK-47 | First Class (Minimal Wear),30.34528,
AK-47 | Redline (Minimal Wear),41.13228,
StatTrak™ AWP | PAW (Minimal Wear),6.22104,
★ Moto Gloves | Cool Mint (Field-Tested),237.86140000000003,
★ Butterfly Knife | Ultraviolet (Minimal Wear),468.4134,
★ Driver Gloves | King Snake (Field-Tested),354.95347999999996,
★ StatTrak™ Classic Knife | Fade (Factory New),398.0242,
StatTrak™ M4A4 | Buzz Kill (Factory New),55.40332,
Glock-18 | Night (Factory New),9.003120000000001,
★ Classic Knife | Crimson Web (Well-Worn),386.68336000000005,
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred),7.277200000000001,
3rd Commando Company | KSK,1.3846,
★ Moto Gloves | POW! (Field-Tested),336.3612,
★ Survival Knife | Fade (Factory New),360.92980000000006,
StatTrak™ AK-47 | Redline (Field-Tested),28.93492,
★ Classic Knife | Night Stripe (Field-Tested),84.38976,
Negev | Mjölnir (Minimal Wear),526.84352,
SG 553 | Integrale (Field-Tested),42.49112,
AK-47 | Fire Serpent (Battle-Scarred),211.75364000000002,
MP9 | Rose Iron (Factory New),5.96988,
★ Talon Knife | Crimson Web (Minimal Wear),341.964,
MP7 | Bloodsport (Factory New),4.78492,
★ Stiletto Knife | Safari Mesh (Field-Tested),56.2856,
M4A4 | Griffin (Factory New),6.30476,
M4A4 | The Emperor (Minimal Wear),38.64,
AWP | Redline (Field-Tested),16.75044,
StatTrak™ AK-47 | Red Laminate (Well-Worn),45.89788,
StatTrak™ P90 | Asiimov (Minimal Wear),33.784240000000004,
Desert Eagle | Sunset Storm 壱 (Minimal Wear),55.42908,
★ Stiletto Knife | Ultraviolet (Field-Tested),72.0958,
StatTrak™ AK-47 | Vulcan (Field-Tested),98.95060000000001,
★ Specialist Gloves | Buckshot (Field-Tested),63.52416,
StatTrak™ AUG | Syd Mead (Factory New),16.49284,
Souvenir FAMAS | Styx (Field-Tested),5.90548,
StatTrak™ MAC-10 | Neon Rider (Factory New),23.67344,
AK-47 | Jaguar (Minimal Wear),20.38904,
StatTrak™ AWP | Asiimov (Well-Worn),82.33539999999999,
★ Flip Knife | Crimson Web (Battle-Scarred),89.14892,
★ StatTrak™ Butterfly Knife,545.65476,
★ StatTrak™ Classic Knife,225.90231999999997,
SG 553 | Cyrex (Factory New),10.23316,
P250 | Undertow (Minimal Wear),14.61236,
StatTrak™ M4A4 | 龍王 (Dragon King) (Factory New),38.62712,
StatTrak™ AWP | Atheris (Factory New),22.59152,
P250 | See Ya Later (Factory New),8.76484,
★ Moto Gloves | Boom! (Field-Tested),147.95256,
MP7 | Fade (Field-Tested),4.6303600000000005,
★ Hydra Gloves | Case Hardened (Field-Tested),94.64868,
★ Butterfly Knife | Safari Mesh (Field-Tested),181.10568000000004,
AWP | Wildfire (Minimal Wear),45.86568,
Negev | Mjölnir (Field-Tested),461.12976,
★ StatTrak™ Butterfly Knife | Fade (Factory New),930.58,
StatTrak™ M4A1-S | Hyper Beast (Factory New),126.224,
Desert Eagle | Cobalt Disruption (Factory New),27.531000000000002,
MP9 | Hot Rod (Factory New),13.92972,
AUG | Syd Mead (Factory New),4.94592,
StatTrak™ M4A4 | X-Ray (Factory New),44.22992000000001,
StatTrak™ Desert Eagle | Heirloom (Minimal Wear),11.2378,
StatTrak™ AK-47 | Neon Rider (Minimal Wear),100.58636,
★ Falchion Knife | Blue Steel (Battle-Scarred),64.52236,
★ StatTrak™ Flip Knife | Rust Coat (Battle-Scarred),75.91472,
★ Hand Wraps | Overprint (Field-Tested),242.13112,
AK-47 | Neon Rider (Factory New),72.81708,
StatTrak™ AWP | Containment Breach (Factory New),356.78888,
StatTrak™ R8 Revolver | Fade (Factory New),36.90764,
StatTrak™ SSG 08 | Dragonfire (Field-Tested),19.42948,
P90 | Nostalgia (Field-Tested),2.42788,
★ Hand Wraps | Badlands (Battle-Scarred),85.652,
★ StatTrak™ Butterfly Knife | Rust Coat (Battle-Scarred),256.96244,
★ Bowie Knife | Crimson Web (Battle-Scarred),86.46343999999999,
★ Falchion Knife | Damascus Steel (Factory New),88.44696,
StatTrak™ Desert Eagle | Code Red (Field-Tested),47.25672,
★ Bloodhound Gloves | Guerrilla (Battle-Scarred),69.32016,
★ Sport Gloves | Pandora's Box (Battle-Scarred),476.63084000000003,
AK-47 | Jet Set (Field-Tested),64.96672,
AUG | Hot Rod (Factory New),143.05816,
StatTrak™ AUG | Stymphalian (Factory New),11.25712,
★ M9 Bayonet | Safari Mesh (Battle-Scarred),118.57328000000001,
AWP | Asiimov (Field-Tested),54.30852,
★ Karambit | Night (Well-Worn),188.5954,
StatTrak™ AK-47 | Wasteland Rebel (Minimal Wear),82.915,
StatTrak™ CZ75-Auto | Victoria (Factory New),55.454840000000004,
StatTrak™ M4A1-S | Guardian (Minimal Wear),19.05596,
StatTrak™ AWP | Containment Breach (Well-Worn),49.8778,
SG 553 | Colony IV (Field-Tested),2.6403999999999996,
★ StatTrak™ Falchion Knife | Damascus Steel (Factory New),106.87824,
★ M9 Bayonet | Ultraviolet (Field-Tested),134.68616,
AWP | Asiimov (Battle-Scarred),33.26904,
★ Sport Gloves | Arid (Minimal Wear),384.57104,
StatTrak™ FAMAS | Djinn (Factory New),12.886440000000002,
StatTrak™ MP7 | Bloodsport (Factory New),13.627040000000001,
SG 553 | Colony IV (Minimal Wear),6.93588,
★ Moto Gloves | POW! (Battle-Scarred),131.41464,
StatTrak™ AUG | Momentum (Minimal Wear),12.783400000000002,
★ Classic Knife | Scorched (Minimal Wear),72.88792000000001,
AK-47 | Fuel Injector (Minimal Wear),71.4196,
MP7 | Whiteout (Minimal Wear),16.75688,
StatTrak™ M4A1-S | Mecha Industries (Minimal Wear),29.53384,
★ Classic Knife | Blue Steel (Minimal Wear),93.75996,
★ Butterfly Knife | Night (Battle-Scarred),194.81644,
StatTrak™ M4A4 | Neo-Noir (Minimal Wear),60.0852,
M4A1-S | Master Piece (Minimal Wear),32.80536,
StatTrak™ M4A1-S | Nightmare (Minimal Wear),18.84344,
Howl Pin,51.842,
Galil AR | Cerberus (Minimal Wear),14.316120000000002,
★ Moto Gloves | Polygon (Minimal Wear),350.21364,
P250 | Nuclear Threat (Minimal Wear),26.47484,
M4A1-S | Golden Coil (Minimal Wear),17.80016,
StatTrak™ MP5-SD | Agent (Factory New),5.95056,
AK-47 | Black Laminate (Factory New),56.08596000000001,
M4A1-S | Chantico's Fire (Minimal Wear),20.60156,
★ Karambit | Rust Coat (Well-Worn),173.87356,
★ Survival Knife | Stained (Well-Worn),80.26172,
StatTrak™ AK-47 | Frontside Misty (Factory New),75.992,
★ Bayonet,250.67056000000002,
CZ75-Auto | Xiangliu (Field-Tested),2.8529199999999997,
P90 | Nostalgia (Factory New),5.229279999999999,
★ Driver Gloves | King Snake (Well-Worn),279.58616,
USP-S | Road Rash (Minimal Wear),16.82128,
AWP | Redline (Minimal Wear),25.03872,
AK-47 | Elite Build (Factory New),4.4436,
MAG-7 | Cinquedea (Minimal Wear),189.7868,
StatTrak™ M4A4 | Desolate Space (Factory New),62.10092000000001,
AWP | Wildfire (Field-Tested),30.98284,
M4A4 | Hellfire (Minimal Wear),15.887480000000002,
StatTrak™ Desert Eagle | Cobalt Disruption (Factory New),55.660920000000004,
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear),43.8564,
StatTrak™ M4A4 | Buzz Kill (Field-Tested),20.440559999999998,
★ StatTrak™ M9 Bayonet | Bright Water (Minimal Wear),173.09431999999998,
★ Navaja Knife | Urban Masked (Field-Tested),44.603440000000006,
StatTrak™ M4A4 | The Emperor (Factory New),283.3922,
AK-47 | Aquamarine Revenge (Field-Tested),19.706400000000002,
FAMAS | Commemoration (Factory New),13.530440000000002,
★ M9 Bayonet | Case Hardened (Minimal Wear),208.85564,
M4A1-S | Icarus Fell (Factory New),87.0044,
★ Classic Knife | Urban Masked (Battle-Scarred),67.55560000000001,
★ Driver Gloves | Crimson Weave (Field-Tested),267.73012,
★ Ursus Knife | Boreal Forest (Field-Tested),64.5932,
★ Bowie Knife | Slaughter (Factory New),172.57912000000002,
StatTrak™ AWP | Graphite (Factory New),232.484,
StatTrak™ M4A4 | Neo-Noir (Field-Tested),24.0534,
StatTrak™ USP-S | Overgrowth (Minimal Wear),27.81436,
★ StatTrak™ Classic Knife | Crimson Web (Field-Tested),211.30284,
★ Classic Knife | Boreal Forest (Field-Tested),73.6414,
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested),23.20332,
StatTrak™ AK-47 | Fuel Injector (Field-Tested),114.27136,
StatTrak™ M4A4 | Buzz Kill (Minimal Wear),31.01504,
USP-S | Cortex (Minimal Wear),4.93304,
AWP | Hyper Beast (Battle-Scarred),13.87176,
AWP | Graphite (Factory New),68.3606,
AK-47 | Fuel Injector (Field-Tested),52.49244,
StatTrak™ AWP | Asiimov (Battle-Scarred),60.94816,
AWP | Oni Taiji (Field-Tested),79.07676000000001,
★ Ursus Knife,138.40204,
★ Classic Knife | Crimson Web (Field-Tested),193.522,
